character,trained_successfully,final_reconstruction_loss,errors
a,YES,0.015697,
aa,YES,0.017007,
ah,YES,0.015641,
ai,YES,0.013910,
am,YES,0.015371,
au,YES,0.018230,
ba,YES,0.014353,
bha,YES,0.012341,
ca,YES,0.010244,
cha,YES,0.012152,
da,YES,0.016390,
dda,YES,0.012206,
ddha,YES,0.012217,
dha,YES,0.016479,
e,YES,0.011632,
eight,YES,0.008653,
five,YES,0.012230,
four,YES,0.010273,
ga,YES,0.014034,
gha,YES,0.015772,
gyan,YES,0.018263,
ha,YES,0.015266,
i,YES,0.014397,
ii,YES,0.017918,
ja,YES,0.020653,
jha,YES,0.013366,
ka,YES,0.012777,
kha,YES,0.015984,
ksa,YES,0.016077,
la,YES,0.017113,
lu,YES,0.016181,
luu,YES,0.017326,
ma,YES,0.013557,
na,YES,0.015627,
nine,YES,0.011615,
nna,YES,0.016093,
nnna,YES,0.011071,
nya,YES,0.014495,
o,YES,0.016441,
one,YES,0.012680,
pa,YES,0.012060,
pha,YES,0.016772,
ra,YES,0.010489,
ri,YES,0.012695,
rii,YES,0.014402,
sa,YES,0.012914,
saa,YES,0.012923,
seven,YES,0.009966,
sha,YES,0.012873,
six,YES,0.012238,
ta,YES,0.014004,
tha,YES,0.011887,
three,YES,0.010671,
tra,YES,0.015892,
tta,YES,0.014389,
ttha,YES,0.014000,
two,YES,0.010139,
u,YES,0.015077,
uu,YES,0.014908,
wo,YES,0.011702,
ya,YES,0.013519,
zero,YES,0.013090,
