demo_order,filename,class_name,devanagari_label,demo_type,input_source,input_image_path,input_image_markdown,input_image_width,input_image_height,reference_image_path,reference_image_markdown,ranjana_glyph_path,ranjana_glyph_markdown,intended_flaw_region,expected_result_summary,actual_overall_score,actual_primary_broad_band,actual_primary_broad_z_score,actual_primary_fine_region,actual_primary_fine_z_score,flagged_broad_regions,flagged_fine_regions,broad_band_match_expected,recognizer_predicted_class,recognizer_confidence,recognizer_matches_target,insufficient_input,demo_use,notes
1,a-top-region.jpeg,a,अ,flawed,controlled flawed validation image,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/a-top-region.jpeg,![a-top-region.jpeg](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/a-top-region.jpeg),1390,1478,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/a/photo-1/a.jpg,![reference a](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/a/photo-1/a.jpg),/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/a.png,![Ranjana a](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/a.png),top,should flag top region,66.46,top,40.061,top-center,31.202,,top-center; middle-center,TRUE,a,0.8897,TRUE,FALSE,Show regional feedback catching a missing/weak top-area stroke for अ.,openable image verified by OpenCV
2,ka-top.jpeg,ka,क,flawed,controlled flawed validation image,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/ka-top.jpeg,![ka-top.jpeg](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/ka-top.jpeg),1518,1404,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ka/photo-1/ka.jpg,![reference ka](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ka/photo-1/ka.jpg),/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/ka.png,![Ranjana ka](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/ka.png),top,should flag top region,55.77,top,33.080,top-center,28.822,,top-center,TRUE,aa,0.9964,FALSE,FALSE,Show top-band feedback for क.,openable image verified by OpenCV
3,ka_synthetic_middle_ka_00024_v2.png,ka,क,flawed,controlled synthetic middle-region flaw,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/ka_synthetic_middle_ka_00024_v2.png,![ka_synthetic_middle_ka_00024_v2.png](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/ka_synthetic_middle_ka_00024_v2.png),67,78,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ka/photo-1/ka.jpg,![reference ka](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ka/photo-1/ka.jpg),/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/ka.png,![Ranjana ka](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/ka.png),middle,should flag middle region,96.03,middle,7.845,middle-center,7.552,middle,middle-center,TRUE,dda,0.9987,FALSE,FALSE,Show controlled middle-band feedback for क.,openable image verified by OpenCV
4,da-top.jpeg,da,द,flawed,controlled flawed validation image,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/da-top.jpeg,![da-top.jpeg](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/da-top.jpeg),1704,1957,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/da/photo-1/da.jpg,![reference da](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/da/photo-1/da.jpg),/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/da.png,![Ranjana da](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/da.png),top,should flag top region,79.72,top,106.786,top-center,58.737,top,top-center; bottom-center,TRUE,dda,0.3692,FALSE,FALSE,Show top-band feedback for द.,openable image verified by OpenCV
5,aa_synthetic_middle_aa_000101_v5.png,aa,आ,flawed,controlled synthetic middle-region flaw,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/aa_synthetic_middle_aa_000101_v5.png,![aa_synthetic_middle_aa_000101_v5.png](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/aa_synthetic_middle_aa_000101_v5.png),67,78,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/aa/photo-1/aa.jpg,![reference aa](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/aa/photo-1/aa.jpg),/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/aa.png,![Ranjana aa](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/aa.png),middle,should flag middle region,94.52,middle,6.789,middle-left,5.263,middle,middle-left,TRUE,ka,0.9384,FALSE,FALSE,Show controlled middle-band feedback for आ.,openable image verified by OpenCV
6,aa_00023.png,aa,आ,known_good,real correct handwriting sample,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/aa_00023.png,![aa_00023.png](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/aa_00023.png),67,78,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/aa/photo-1/aa.jpg,![reference aa](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/aa/photo-1/aa.jpg),/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/aa.png,![Ranjana aa](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/aa.png),,"should score clean, no flagged regions",91.53,top,-0.301,middle-right,-0.234,,,TRUE,aa,1.0000,TRUE,FALSE,Show a clean/correct आ sample for comparison.,openable image verified by OpenCV
7,a_00023.png,a,अ,known_good,real correct handwriting sample,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/a_00023.png,![a_00023.png](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/a_00023.png),67,78,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/a/photo-1/a.jpg,![reference a](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/a/photo-1/a.jpg),/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/a.png,![Ranjana a](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/a.png),,"should score clean, no flagged regions",92.45,top,-0.521,top-center,-0.138,,,TRUE,a,0.9998,TRUE,FALSE,Show a clean/correct अ sample for comparison.,openable image verified by OpenCV
8,ka_00027.png,ka,क,known_good,real correct handwriting sample,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/ka_00027.png,![ka_00027.png](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/ka_00027.png),67,78,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ka/photo-1/ka.jpg,![reference ka](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ka/photo-1/ka.jpg),/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/ka.png,![Ranjana ka](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/ka.png),,"should score clean, no flagged regions",93.26,bottom,-0.215,bottom-right,0.007,,,TRUE,ka,0.9999,TRUE,FALSE,Show a clean/correct क sample for comparison.,openable image verified by OpenCV
9,da_00089.png,da,द,known_good,real correct handwriting sample,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/da_00089.png,![da_00089.png](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/da_00089.png),67,78,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/da/photo-1/da.jpg,![reference da](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/da/photo-1/da.jpg),/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/da.png,![Ranjana da](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/da.png),,"should score clean, no flagged regions",94.11,middle,-1.861,bottom-left,-0.683,,,TRUE,da,0.9982,TRUE,FALSE,Show a clean/correct द sample for comparison.,openable image verified by OpenCV
10,dda_00082.png,dda,ड,known_good,real correct handwriting sample,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/dda_00082.png,![dda_00082.png](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/saved_models/demo_ready/dda_00082.png),67,78,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/dda/photo-1/dda.jpg,![reference dda](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/dda/photo-1/dda.jpg),/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/dda.png,![Ranjana dda](/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/ranjana-lipi-coach/backend/ml/display_glyphs/dda.png),,"should score clean, no flagged regions",95.60,bottom,-0.425,bottom-center,-0.014,,,TRUE,dda,0.9976,TRUE,FALSE,Show a clean/correct ड sample for comparison.,openable image verified by OpenCV
