filename,class,overall_score,num_problem_regions_fine,num_problem_regions_broad,max_z_score
reference:aa.jpg,aa,56.8446,1,0,31.5119
aa_000113.png,aa,92.5832,1,0,1.0644
aa_00022.png,aa,91.2557,0,0,0.1485
aa_00069.png,aa,93.1540,2,1,2.4677
aa_00071.png,aa,93.9641,1,1,1.7130
aa_00011.png,aa,83.6697,0,0,3.3227
reference:a.jpg,a,64.7536,2,0,44.4408
a_000145.png,a,95.7731,1,1,2.9477
a_00091.png,a,95.7731,1,1,2.9477
a_00059.png,a,92.9933,0,0,0.6092
a_00095.png,a,94.9164,1,1,1.6339
a_0009.png,a,90.9330,1,1,2.2606
reference:ka.jpg,ka,67.7801,1,1,21.5249
ka_00085.png,ka,94.8926,1,0,2.6101
ka_00072.png,ka,92.5216,0,0,0.2355
ka_00078.png,ka,94.7068,0,0,0.8511
ka_00077.png,ka,94.4854,1,0,1.2933
ka_00044.png,ka,93.9136,1,1,2.6148
reference:da.jpg,da,62.4814,1,1,81.2446
da_00077.png,da,95.2642,0,0,1.7167
da_00079.png,da,94.7574,0,0,2.4272
da_00057.png,da,93.0261,0,1,2.3057
da_0004.png,da,93.4872,0,0,0.8633
da_00016.png,da,93.3772,1,1,3.8505
reference:dda.jpg,dda,67.8517,2,0,41.2894
Slice 1164.png,dda,94.0570,1,0,1.1891
dda_00060.png,dda,92.5857,1,0,2.6738
Slice 1781.png,dda,94.1313,1,1,1.7015
Slice 795.png,dda,94.8060,0,0,0.7096
dda_00022.png,dda,93.2821,2,1,1.8562
