class,source_count,required_pixels,allowed_pixels,status
a,152,2022,8927,built
aa,162,2989,10989,built
ah,50,3007,11448,built
ai,101,1889,8851,built
am,93,1735,8624,built
au,94,2998,11268,built
ba,113,1395,8060,built
bha,117,1633,9526,built
ca,115,1572,7895,built
cha,120,1980,8800,built
da,122,1248,8090,built
dda,121,1273,10769,built
ddha,119,1131,7927,built
dha,118,1724,10343,built
e,111,3112,11224,built
eight,117,493,7005,built
five,119,317,10218,built
four,117,1044,8674,built
ga,119,2070,9793,built
gha,120,2262,10643,built
gyan,117,2742,10885,built
ha,114,1728,10076,built
i,114,2324,10426,built
ii,110,2658,11687,built
ja,119,1919,10189,built
jha,119,2947,12118,built
ka,123,1944,9609,built
kha,117,2820,12082,built
ksa,117,2567,11706,built
la,114,2133,12898,built
lu,23,3545,13545,built
luu,15,3219,11378,built
ma,119,1769,9520,built
na,110,1679,10432,built
nine,116,680,5893,built
nna,119,2734,12718,built
nnna,119,1357,8170,built
nya,115,2487,11521,built
o,103,3171,11097,built
one,112,282,10519,built
pa,118,2089,9466,built
pha,116,2262,9040,built
ra,116,1524,8328,built
ri,68,2131,9370,built
rii,44,1875,8850,built
sa,111,2086,9510,built
saa,117,2401,11278,built
seven,116,210,8195,built
sha,112,1630,9500,built
six,115,268,8198,built
ta,119,1493,10233,built
tha,118,885,7985,built
three,120,161,6008,built
tra,117,2624,10789,built
tta,117,1913,11017,built
ttha,71,1724,9546,built
two,116,210,6935,built
u,115,1169,8568,built
uu,105,1397,8981,built
wo,113,1273,8906,built
ya,118,1521,9168,built
zero,115,1238,9859,built
