class,part,label,samples,old_min_coverage,new_min_coverage,min,p10,p25,median,mean,max
aa,top_head,Top head stroke,80,0.55,0.35,0.0,0.0,0.0,0.875,0.6164583333333333,1.0
aa,left_loop,Left loop,80,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0
aa,right_stem,Right vertical stem,80,0.55,0.5689320087432861,0.2524271844660194,0.3883495145631068,0.6189320388349514,0.8009708737864077,0.7557038834951456,1.0
aa,lower_tail,Lower tail,80,0.5,0.3875,0.0,0.22968750000000002,0.4375,0.7734375,0.67890625,1.0
a,top_head,Top head stroke,80,0.55,0.35,0.0,0.0,0.0,0.23076923076923075,0.47101648351648356,1.0
a,middle_body,Middle body curve,80,0.55,0.5916938304901123,0.31921824104234525,0.5100977198697069,0.6416938110749185,0.7296416938110749,0.7146579804560261,0.9771986970684039
a,right_stem,Right vertical stem,80,0.55,0.35,0.0,0.0,0.0,0.42,0.497,1.0
a,lower_tail,Lower tail,80,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0
ka,top_head,Top head stroke,80,0.55,0.35,0.0,0.0,0.009302325581395349,0.35930232558139535,0.29334302325581396,0.9837209302325581
ka,center_loop,Center loop,80,0.55,0.5209393620491027,0.410958904109589,0.4765166340508806,0.5709393346379648,0.6663405088062622,0.6545254403131116,0.9060665362035225
ka,right_stem,Right stem,80,0.55,0.35415021777153016,0.1712779973649539,0.3629776021080369,0.4041501976284585,0.4861660079051383,0.5191534914361001,0.8959156785243741
ka,lower_tail,Lower tail,80,0.5,0.35,0.004830917874396135,0.12318840579710146,0.27657004830917875,0.4492753623188406,0.43849637681159415,0.966183574879227
da,top_head,Top head stroke,80,0.55,0.35,0.0,0.01647727272727273,0.13304924242424243,0.1865530303030303,0.2207386363636364,0.821969696969697
da,middle_curve,Middle curve,80,0.55,0.4415803074836731,0.3704663212435233,0.44145077720207254,0.491580310880829,0.5356217616580311,0.5446729274611399,0.7979274611398963
da,bottom_curve,Bottom curve,80,0.5,0.35,0.0,0.019767441860465123,0.07848837209302326,0.25775193798449614,0.2888565891472868,0.7829457364341085
dda,top_head,Top head stroke,80,0.55,0.35,0.0,0.05621468926553673,0.13559322033898305,0.2344632768361582,0.2828919491525424,0.7824858757062146
dda,left_curve,Left middle curve,80,0.5,0.42491639852523805,0.2157190635451505,0.3739130434782608,0.47491638795986624,0.6053511705685619,0.5842391304347826,0.8929765886287625
dda,right_stem,Right stem,80,0.55,0.35,0.0,0.052416356877323426,0.1965613382899628,0.4117100371747212,0.4101765799256505,0.9553903345724907
dda,lower_tail,Lower tail,80,0.5,0.35,0.0,0.17982954545454546,0.31534090909090906,0.45170454545454547,0.474609375,0.9886363636363636
