class_name,image_count,min_width,max_width,mean_width,min_height,max_height,mean_height,formats,corrupt_count,corrupt_files
a,152,48,91,67.25,48,91,77.95,PNG:152,0,
aa,162,48,108,67.67,48,96,78.06,PNG:162,0,
ah,50,48,147,71.92,48,123,78.88,PNG:50,0,
ai,101,48,110,67.45,48,127,79.01,PNG:101,0,
am,93,48,120,67.90,48,136,79.57,PNG:93,0,
au,94,48,142,69.03,48,136,79.24,PNG:94,0,
ba,113,48,98,68.33,48,109,78.11,PNG:113,0,
bha,117,48,198,68.57,48,198,79.14,PNG:117,0,
ca,115,47,106,67.23,48,119,78.23,PNG:115,0,
cha,120,46,96,67.38,48,106,78.01,PNG:120,0,
da,122,48,98,66.89,47,90,77.50,PNG:122,0,
dda,121,45,225,68.14,48,231,79.28,PNG:121,0,
ddha,119,47,84,66.59,48,95,77.81,PNG:119,0,
dha,118,47,106,68.28,48,90,77.35,PNG:118,0,
e,111,48,109,67.70,48,105,77.99,PNG:111,0,
eight,117,34,221,67.78,43,199,79.09,PNG:117,0,
five,119,53,221,68.97,55,199,79.03,PNG:119,0,
four,117,49,221,68.83,57,199,78.85,PNG:117,0,
ga,119,47,98,67.71,48,109,78.17,PNG:119,0,
gha,120,48,109,67.42,48,109,78.20,PNG:120,0,
gyan,117,51,221,68.83,50,199,79.38,PNG:117,0,
ha,114,48,221,69.22,48,199,79.27,PNG:114,0,
i,114,48,119,67.62,48,115,77.91,PNG:114,0,
ii,110,48,109,67.15,48,123,78.03,PNG:110,0,
ja,119,48,115,67.82,48,106,77.92,PNG:119,0,
jha,119,48,95,67.34,48,102,77.91,PNG:119,0,
ka,123,48,102,67.81,48,104,78.16,PNG:123,0,
kha,117,48,95,67.35,48,98,77.94,PNG:117,0,
ksa,117,48,221,69.21,48,199,78.96,PNG:117,0,
la,114,48,115,67.88,48,103,78.11,PNG:114,0,
lu,23,59,119,72.09,65,115,82.57,PNG:23,0,
luu,15,57,132,75.60,62,136,87.27,PNG:15,0,
ma,119,48,92,67.14,48,109,77.97,PNG:119,0,
na,110,48,105,67.70,48,103,77.85,PNG:110,0,
nine,116,47,221,69.86,57,286,81.97,PNG:116,0,
nna,119,48,225,68.59,48,231,79.28,PNG:119,0,
nnna,119,48,94,67.29,48,105,78.16,PNG:119,0,
nya,115,48,103,67.61,48,102,77.78,PNG:115,0,
o,103,52,125,68.45,52,144,78.57,PNG:103,0,
one,112,57,106,67.57,57,126,78.84,PNG:112,0,
pa,118,48,91,67.27,48,109,78.12,PNG:118,0,
pha,116,48,111,67.55,48,109,77.99,PNG:116,0,
ra,116,47,96,67.18,48,103,77.97,PNG:116,0,
ri,68,49,117,68.93,53,123,79.38,PNG:68,0,
rii,44,56,113,70.02,69,136,81.36,PNG:44,0,
sa,111,48,106,67.58,48,107,78.23,PNG:111,0,
saa,117,48,221,68.91,48,199,79.19,PNG:117,0,
seven,116,53,98,67.18,55,106,78.00,PNG:116,0,
sha,112,48,109,67.64,48,107,78.31,PNG:112,0,
six,115,46,104,67.30,55,118,77.90,PNG:115,0,
ta,119,48,225,69.03,47,231,78.93,PNG:119,0,
tha,118,48,225,68.66,48,231,79.18,PNG:118,0,
three,120,49,251,71.25,57,244,81.78,PNG:120,0,
tra,117,48,115,67.50,48,116,78.38,PNG:117,0,
tta,117,48,213,69.01,48,226,79.15,PNG:117,0,
ttha,71,48,96,67.63,48,95,78.04,PNG:71,0,
two,116,50,221,68.31,57,199,78.99,PNG:116,0,
u,115,40,114,67.24,48,100,77.55,PNG:115,0,
uu,105,41,108,66.95,48,123,78.58,PNG:105,0,
wo,113,48,101,67.51,48,103,78.15,PNG:113,0,
ya,118,45,94,67.16,48,103,77.89,PNG:118,0,
zero,115,50,221,68.85,56,199,79.03,PNG:115,0,
