class_name,has_reference,reference_count,reference_paths,status
a,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/a/photo-1/a.jpg,ok
aa,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/aa/photo-1/aa.jpg,ok
ah,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ah/photo-1/ah.jpg,ok
ai,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ai/photo-1/ai.jpg,ok
am,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/am/photo-1/am.jpg,ok
au,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/au/photo-1/au.jpg,ok
ba,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ba/photo-1/ba.jpg,ok
bha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/bha/photo-1/bha.jpg,ok
ca,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ca/photo-1/ca.jpg,ok
cha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/cha/photo-1/cha.jpg,ok
da,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/da/photo-1/da.jpg,ok
dda,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/dda/photo-1/dda.jpg,ok
ddha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ddha/photo-1/ddha.jpg,ok
dha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/dha/photo-1/dha.jpg,ok
e,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/e/photo-1/e.jpg,ok
eight,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/eight/photo-1/eight.jpg,ok
five,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/five/photo-1/five.jpg,ok
four,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/four/photo-1/four.jpg,ok
ga,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ga/photo-1/ga.jpg,ok
gha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/gha/photo-1/gha.jpg,ok
gyan,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/gyan/photo-1/gyan.jpg,ok
ha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ha/photo-1/ha.jpg,ok
i,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/i/photo-1/i.jpg,ok
ii,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ii/photo-1/ii.jpg,ok
ja,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ja/photo-1/ja.jpg,ok
jha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/jha/photo-1/jha.jpg,ok
ka,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ka/photo-1/ka.jpg,ok
kha,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/kha/photo-1/kha.jpg,ok
ksa,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ksa/photo-1/ksa.jpg,ok
la,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/la/photo-1/la.jpg,ok
lu,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/lu/photo-1/lu.jpg,ok
luu,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/luu/photo-1/luu.jpg,ok
ma,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/ma/photo-1/ma.jpg,ok
na,True,1,/Users/anishdangol/Documents/project/ranjana-lipi-region-detection/data/Reference/na/photo-1/na.jpg,ok
